Instrument,Date,ESG Combined Score,ESG Score,Environmental Pillar Score,Social Pillar Score,Governance Pillar Score,ESG Controversies Score,Resource Use Score,Emissions Score,Environmental Innovation Score
ABM.N,2020-10-31T00:00:00Z,75.67779138,75.67779138,81.20546161,74.24900794,73.63408995,100,81.27572016,74.25925926,89.21568627
ABMD.OQ,2015-03-31T00:00:00Z,,,,,,,,,
ABMD.OQ,2016-03-31T00:00:00Z,21.01322708,21.01322708,0,24.70614828,25.95705347,100,0,0,0
ABMD.OQ,2017-03-31T00:00:00Z,25.99471201,25.99471201,0,32.78050544,29.19094961,100,0,0,0
ABMD.OQ,2018-03-31T00:00:00Z,20.47035655,20.47035655,0,32.21020401,14.56572379,84.09090909,0,0,0
ABMD.OQ,2019-03-31T00:00:00Z,20.79832103,20.79832103,0,28.71097392,20.08587786,100,0,0,0
ABMD.OQ,2020-03-31T00:00:00Z,25.36858885,25.36858885,0,37.76125667,20.89025102,100,0,0,0
ABMD.OQ,2021-03-31T00:00:00Z,25.2411769,25.2411769,0,35.49928114,23.51388889,100,0,0,0
ABNB.OQ,2020-12-31T00:00:00Z,27.53551559,27.53551559,15.97047702,51.04131759,10.76391989,32.65306122,35.9947644,17.875,0
ABNB.OQ,2021-12-31T00:00:00Z,35.04652752,35.8539246,19.89077615,57.698684,21.83210409,34.23913043,28.74449339,46.39175258,0
ABNB.OQ,,,,,,,,,,
ABNB.OQ,,,,,,,,,,
ABR.N,2017-12-31T00:00:00Z,28.50149272,28.50149272,0,50.93426928,40.69134956,100,0,0,0
ABR.N,2018-12-31T00:00:00Z,27.99517762,27.99517762,0,45.72725809,44.00776484,100,0,0,0
ABR.N,2019-12-31T00:00:00Z,25.46220154,25.46220154,0,41.17153243,40.41878711,100,0,0,0
ABR.N,2020-12-31T00:00:00Z,20.35335673,20.35335673,0,34.5948412,30.72776805,100,0,0,0
ABR.N,2021-12-31T00:00:00Z,21.04596437,21.04596437,0,37.42225297,30.22407407,100,0,0,0
ABR.N,,,,,,,,,,
ABT.N,2015-12-31T00:00:00Z,70.58859649,80.06608187,55.72400389,82.85182336,87.75782531,61.11111111,89.16666667,84.69387755,0
ABT.N,2016-12-31T00:00:00Z,64.67259463,79.34518926,58.25713466,85.96824806,80.46592065,50,87.31343284,93.26923077,0
ABT.N,2017-12-31T00:00:00Z,82.1262961,82.1262961,75.69444444,82.72800478,84.33557712,86.66666667,84.375,94.44444444,50
ABT.N,2018-12-31T00:00:00Z,60.53892227,77.89602636,76.1884307,81.36240123,74.12884408,43.18181818,84.02061856,96.11111111,50
ABT.N,2019-12-31T00:00:00Z,56.93060515,81.10258961,74.75449196,85.27142009,78.57607504,32.75862069,79.91803279,95.37815126,50
ABT.N,2020-12-31T00:00:00Z,50.60702544,83.03223271,76.628861,85.10778827,83.28765801,18.18181818,82.8125,98.31081081,50
ABT.N,2021-12-31T00:00:00Z,58.27529316,82.34005999,77.83875434,83.95577274,82.31331418,34.21052632,85.98901099,99.15730337,50
ABTX.OQ,2015-12-31T00:00:00Z,,,,,,,,,
ABTX.OQ,2016-12-31T00:00:00Z,26.52357281,26.52357281,21.15270351,38.09284401,21.19311718,100,0,0,0
ABTX.OQ,2017-12-31T00:00:00Z,30.19027306,30.19027306,0,42.32794583,25.54336647,100,0,0,0
ABTX.OQ,2018-12-31T00:00:00Z,30.29636818,30.29636818,0,43.18943319,24.65113699,100,0,0,0
ABTX.OQ,2019-12-31T00:00:00Z,28.60872808,28.60872808,0,39.44984883,25.11556404,100,0,0,0
ABTX.OQ,2020-12-31T00:00:00Z,30.97909254,30.97909254,0,33.85565026,39.40747227,100,0,0,0
ABTX.OQ,2021-12-31T00:00:00Z,30.27575576,30.27575576,1.740581784,33.60103223,37.10833333,100,0,10.4434907,0
AC.N,2015-12-31T00:00:00Z,,,,,,,,,
AC.N,2016-12-31T00:00:00Z,18.66841185,18.66841185,17.53569212,37.01915403,8.772753129,100,0,0,0
AC.N,2017-12-31T00:00:00Z,18.06606089,18.06606089,0,37.32723341,7.220889041,100,0,0,0
AC.N,2018-12-31T00:00:00Z,19.05874977,19.05874977,0,36.2339426,10.27287854,100,0,0,0
AC.N,2019-12-31T00:00:00Z,17.73995278,17.73995278,0,36.73480576,7.021840543,100,0,0,0
AC.N,2020-12-31T00:00:00Z,22.49608324,22.49608324,0,38.0792207,16.08581436,100,0,0,0
AC.N,2021-12-31T00:00:00Z,19.96753846,19.96753846,0,36.09190689,12.34166667,100,0,0,0
ACA.N,2017-12-31T00:00:00Z,,,,,,,,,
ACA.N,2018-12-31T00:00:00Z,17.47089947,17.47089947,6.589165708,22.27326009,26.08874099,100,0,9.77443609,7.522123894
ACA.N,2019-12-31T00:00:00Z,32.57917116,32.57917116,22.81677599,43.07395947,31.78703829,100,40.20979021,27.85234899,6.910569106
ACA.N,2020-12-31T00:00:00Z,43.65511516,43.65511516,42.42740084,47.47158575,40.11566682,100,52.28571429,52.98913043,25.70422535
ACA.N,2021-12-31T00:00:00Z,48.11852499,48.11852499,41.90274042,45.85226675,59.94302363,100,54.52380952,48.13953488,27.77777778
ACA.N,,,,,,,,,,
ACAD.OQ,2015-12-31T00:00:00Z,22.04115994,22.04115994,0,39.29050201,21.01919935,100,0,0,0
