,std,std,std,std,std,std,std,std,std,std,mean_change,mean_change,mean_change,mean_change,mean_change,mean_change,std_change,std_change,std_change,std_change,std_change,std_change,ESG Score,Environmental Pillar Score,Social Pillar Score,Governance Pillar Score,mean-return,semi-variance (down),kurtosis,skew,VaR (95%)
,ESG Score,Environmental Pillar Score,Social Pillar Score,Governance Pillar Score,mean-return,semi-variance (down),kurtosis,skew,VaR (95%),"D(ESG, VaR)",ESG Score,Environmental Pillar Score,Social Pillar Score,Governance Pillar Score,semi-variance (down),VaR (95%),ESG Score,Environmental Pillar Score,Social Pillar Score,Governance Pillar Score,semi-variance (down),VaR (95%),2020.0,2020.0,2020.0,2020.0,2020.0,2020.0,2020.0,2020.0,2020.0
Symbol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAP.N,0.8656387708014978,-0.4514153026777507,0.5250929124268725,1.6617259486997018,-0.13943542717891919,-0.47331382568416297,1.1988646145905362,0.5270918242950837,-0.25420014479909964,-0.024443828371761837,-0.5614621910965731,-0.6683760973327523,-0.0003692032870456931,-0.6163691878927773,-0.12410891360588146,0.08975754319031441,-0.5614621910965731,-0.6683760973327523,-0.0003692032870456931,-0.6163691878927773,-0.12410891360588146,0.08975754319031441,4.1320064191634945e-16,0.0,0.0,0.0,-3.831464757888703e-17,0.0,1.1417408438304152e-16,-6.2494835470297e-17,-9.307916120080616e-16
AAPL.OQ,0.048183041247379085,-0.27424029197392935,0.3128098693642629,-0.523290693009629,-0.02185071848322022,0.9945451796893672,0.36062880126069585,-0.201793006845226,0.8233913918545576,2.114539768629387,-0.36336000173085026,-0.4860817140842025,-0.22363665878050323,-0.22100104985517358,-0.1454426717946668,-0.015577100741418343,-0.36336000173085026,-0.4860817140842025,-0.22363665878050323,-0.22100104985517358,-0.1454426717946668,-0.015577100741418343,1.7416184368216845,1.166887214371054,1.5072622518801966,1.6868450452164319,-1.1413852675893408,0.275150154911543,0.9751822320789169,-0.4054132926224611,-0.6297642515305886
AAT.N,1.099437812793351,1.8772469532188394,-0.215364831533145,0.660904874830578,1.010986563013098,0.1975483704817648,0.12356138096617166,-0.06070016455792848,1.2391904686253465,1.71668773031054,0.24840677942531594,0.006667446735692663,-0.7904510788437673,0.28240201616850796,0.0003569738068885182,-0.4111180087231274,0.24840677942531594,0.006667446735692663,-0.7904510788437673,0.28240201616850796,0.0003569738068885182,-0.4111180087231274,0.31479730001046924,0.6698055007721286,-0.06922458138976018,0.2666486605338689,1.5652404505019015,-0.9994033630090237,-1.4393747073222767,0.5294942385288038,2.051346653729554
AAWW.OQ,-0.05547099367162504,1.1494416244522516,0.09514861240197751,-0.07569638033103974,-0.4815399067859945,1.2964057030672913,1.6288310139103213,0.560245105081878,0.49123006335965314,0.6977373215206155,0.12342132603540071,1.4528843761090953,-0.27251376191797894,-0.48572088366979943,-0.33967184399163364,0.2325470418516913,0.12342132603540071,1.4528843761090953,-0.27251376191797894,-0.48572088366979943,-0.33967184399163364,0.2325470418516913,-1.0677136194620496,-0.5328710546367809,-1.3026133002311708,-0.5460917721310888,-0.16444054055723295,0.9996377363983747,2.500203351954915,-1.9690393702755509,-0.38200872917845596
AB.N,-0.6549529074903425,-0.7690752504309539,-0.4296722629734598,-0.9157921678281009,-0.5899555537745267,-0.4674859409585859,-1.0790419510862541,-0.7947839720438921,-0.768520768877191,-1.3620296750086032,0.057733112617009155,-0.5339758231694681,-0.08956437484229252,0.8007791323700943,-0.5929573169020069,0.6343110866105793,0.057733112617009155,-0.5339758231694681,-0.08956437484229252,0.8007791323700943,-0.5929573169020069,0.6343110866105793,-0.7037351593786672,-0.6981589894070391,0.9938125210051952,-2.107749858866805,0.3352528938146357,-1.3164048669099546,-0.5824053030405708,0.8233457469771566,1.1867784789295708
ABBV.N,-0.4097303912352899,-0.012258688708017596,-0.45848506367668573,-0.03666929692459352,-0.2914579255852303,-0.055474003795729775,-0.7373578366626647,0.0018283671018385396,-0.12486048122169313,-0.09758554022997998,-0.6057337567580826,-0.4621805256914393,-0.4812782466080756,-0.44421626841829676,0.2297624854859772,-0.4204625816893236,-0.6057337567580826,-0.4621805256914393,-0.4812782466080756,-0.44421626841829676,0.2297624854859772,-0.4204625816893236,2.0143913152272845,1.6450082482575168,2.42088803146442,0.6512988941026017,0.04162560836307701,-2.811574955079618,-1.3015124765934805,0.5546340706091345,2.193695408897774
ABC.N,1.03649580380756,1.524139438548618,1.423770393363227,-0.22294053267291575,-0.005172892990046537,0.32694829475612547,0.4141734133938535,0.773977937646044,0.32290955559441753,0.7715900726417141,-0.013472862906533224,0.04007663469987114,0.06411428467908883,-0.13798462200776368,-0.007796434916005309,0.007424951705809629,-0.013472862906533224,0.04007663469987114,0.06411428467908883,-0.13798462200776368,-0.007796434916005309,0.007424951705809629,1.6953306676897024,1.048439262226729,1.317956109982349,1.6341982885676762,-0.3348338944868587,-0.05278219152337673,-0.0015981324710343694,-0.3779598477549949,-0.24694548989805046
ABCB.OQ,-1.046756090154663,-0.793622786498634,-0.9114089982555171,-1.1501443927202943,-0.896893603836644,-1.2319433736201042,-1.2182672395121683,-1.3518171448601366,-1.2451213885042833,-1.3620296750086032,0.0,7.359405971351459e-17,0.0,0.0,-3.2562739179941535e-18,9.402122669462618e-18,0.0,7.359405971351459e-17,0.0,0.0,-3.2562739179941535e-18,9.402122669462618e-18,-0.14440894322465123,-1.341796239659927,-0.32894101779213775,0.4988099579108166,-0.8758822169674838,1.593090687813403,0.011531411263369477,-0.6384245137624611,-1.9823795987396375
ABG.N,-0.5498651850936562,-0.7735584127746828,-0.8831350072405266,-0.26521540991515985,-0.7044494624638237,-0.37776270954684976,-0.2824709716969689,-1.331608209244905,-0.12640225975514766,-1.3620296750086032,-1.4214939591473046,-0.6906167119497303,-0.6278858808460553,-0.9636527442396001,0.8545571676079636,-1.3913820409857578,-1.4214939591473046,-0.6906167119497303,-0.6278858808460553,-0.9636527442396001,0.8545571676079636,-1.3913820409857578,-0.1895994232968816,-1.1739533850829356,-1.0217226945788709,1.2289437905939966,-0.2418786412497243,-0.39036390223973505,-0.13735020486097407,0.9078804399738493,0.030362151807184122
ABM.N,0.2402986421037629,0.06601074989235582,0.9871516296379362,-0.9512901603540986,0.8931172383758852,0.757237620364256,0.06811965459664637,-0.3436557191914608,1.3712649451484844,2.52534712514903,-0.2957946410178444,-0.4491999254463162,0.03876186976921699,-0.34495852595016385,-0.6350874566529136,1.386395692142605,-0.2957946410178444,-0.4491999254463162,0.03876186976921699,-0.34495852595016385,-0.6350874566529136,1.386395692142605,1.6790995996413776,1.9638609067307906,1.3223177702696252,1.003714787582299,0.88646603649747,-0.12718798071361426,-1.0663696686142936,0.17554990766937847,0.573830270495617
ABNB.OQ,0.053921876640048855,-0.4584267442388353,-0.19405040523851314,-0.10778702817479466,-0.40487797755310156,2.3598690568734413,2.0957496282017876,1.2196321187047556,1.8747637084619722,-1.3620296750086032,1.4991006525328592,0.003261605124949625,0.29204040430100997,3.0934211147034665,6.683615227921659,-3.3006140897890455,1.4991006525328592,0.003261605124949625,0.29204040430100997,3.0934211147034665,6.683615227921659,-3.3006140897890455,-1.1205095242858547,-0.7464859155579826,0.10729509713011028,-2.163814127632507,-0.30787571485007736,2.4794966928884925,2.862827197351627,-2.2658889360574803,-1.75281444626364
ABT.N,-0.567608409001186,-0.619022280673424,-0.5928549278388525,-0.4450941912441535,-0.3891760315738031,-0.03402953390973514,-0.2234350738184867,-0.314143447025204,0.029111738437439076,0.32136452629165657,-0.6723974461077227,-0.5602644794765013,-0.5395954680985602,-0.37058311721182585,-0.003630663963381599,-0.22852151453789968,-0.6723974461077227,-0.5602644794765013,-0.5395954680985602,-0.37058311721182585,-0.003630663963381599,-0.22852151453789968,2.1067811064041373,1.7737148524600914,1.8908217491065966,1.490081468885405,-0.3989669165320745,-0.19124386746449215,0.4448099566496441,-0.7416146236653323,0.08640932485719093
