DATE,LREM64TTUSM156S
2004/3/1,71.05003775
2004/4/1,71.18277437
2004/5/1,71.13202895
2004/6/1,71.1072266
2004/7/1,71.30398889
2004/8/1,71.2652439
2004/9/1,71.15259316
2004/10/1,71.2223079
2004/11/1,71.36327958
2004/12/1,71.30015888
2005/1/1,71.30851393
2005/2/1,71.22454455
2005/3/1,71.26709065
2005/4/1,71.43589891
2005/5/1,71.52967691
2005/6/1,71.49483838
2005/7/1,71.62711952
2005/8/1,71.82574277
2005/9/1,71.68749579
2005/10/1,71.69156068
2005/11/1,71.55663536
2005/12/1,71.62654227
2006/1/1,71.68961891
2006/2/1,71.77476704
2006/3/1,71.84208814
2006/4/1,71.78931418
2006/5/1,71.87086944
2006/6/1,72.00699816
2006/7/1,72.00597095
2006/8/1,72.0980261
2006/9/1,72.05039028
2006/10/1,72.24150657
2006/11/1,72.17779228
2006/12/1,72.32379732
2007/1/1,72.13954197
2007/2/1,71.97647562
2007/3/1,72.0184542
2007/4/1,71.70563886
2007/5/1,71.75465277
2007/6/1,71.76875985
2007/7/1,71.73341628
2007/8/1,71.56715646
2007/9/1,71.69646471
2007/10/1,71.57864779
2007/11/1,71.77450725
2007/12/1,71.55157611
2008/1/1,71.68022014
2008/2/1,71.43739031
2008/3/1,71.40670713
2008/4/1,71.42770907
2008/5/1,71.20449698
2008/6/1,71.12639432
2008/7/1,70.93730307
2008/8/1,70.71774574
2008/9/1,70.53995779
2008/10/1,70.39209001
2008/11/1,69.94257213
2008/12/1,69.55802291
2009/1/1,69.02613665
2009/2/1,68.725747
2009/3/1,68.21348483
2009/4/1,68.12105407
2009/5/1,67.76621476
2009/6/1,67.80990911
2009/7/1,67.69994715
2009/8/1,67.3276426
2009/9/1,66.88073557
2009/10/1,66.60304828
2009/11/1,66.67085479
2009/12/1,66.41083026
2010/1/1,66.75100323
2010/2/1,66.70993884
2010/3/1,66.73314559
2010/4/1,66.86897251
2010/5/1,66.756574
2010/6/1,66.75104278
2010/7/1,66.73169004
2010/8/1,66.78240231
2010/9/1,66.6591916
2010/10/1,66.45811657
2010/11/1,66.36829923
2010/12/1,66.4942028
2011/1/1,66.68122005
2011/2/1,66.59945067
2011/3/1,66.68703355
2011/4/1,66.5407696
2011/5/1,66.53816804
2011/6/1,66.41292907
2011/7/1,66.40070253
2011/8/1,66.66614171
2011/9/1,66.686294
2011/10/1,66.66522437
2011/11/1,66.81642151
2011/12/1,66.85471744
2012/1/1,66.92980081
2012/2/1,66.96672632
2012/3/1,66.98771129
2012/4/1,66.92426919
2012/5/1,67.06461135
2012/6/1,67.12762441
2012/7/1,67.04744066
2012/8/1,67.00420349
2012/9/1,67.31138338
2012/10/1,67.49517235
2012/11/1,67.27755318
2012/12/1,67.29561269
2013/1/1,67.26083318
2013/2/1,67.24424999
2013/3/1,67.17858971
2013/4/1,67.2739892
2013/5/1,67.34485071
2013/6/1,67.36391389
2013/7/1,67.48981247
2013/8/1,67.41812098
2013/9/1,67.46806283
2013/10/1,67.12810493
2013/11/1,67.44158846
2013/12/1,67.53847075
2014/1/1,67.71428153
2014/2/1,67.68669712
2014/3/1,67.91890092
2014/4/1,67.94392617
2014/5/1,68.03210152
2014/6/1,68.15399011
2014/7/1,68.17217162
2014/8/1,68.22967175
2014/9/1,68.28063177
2014/10/1,68.57140759
2014/11/1,68.50946532
2014/12/1,68.4818859
2015/1/1,68.54637406
2015/2/1,68.53821268
2015/3/1,68.43224231
2015/4/1,68.69300923
2015/5/1,68.80294608
2015/6/1,68.68578325
2015/7/1,68.63634496
2015/8/1,68.76199144
2015/9/1,68.65140563
2015/10/1,68.71506554
2015/11/1,68.86602973
2015/12/1,69.07931498
2016/1/1,69.18999616
2016/2/1,69.26542799
2016/3/1,69.28833276
2016/4/1,69.18420562
2016/5/1,69.29636642
2016/6/1,69.19786194
2016/7/1,69.28378363
2016/8/1,69.38977679
2016/9/1,69.42552172
2016/10/1,69.41121022
2016/11/1,69.53920025
2016/12/1,69.56173212
2017/1/1,69.64968479
2017/2/1,69.72030584
2017/3/1,70.01879544
2017/4/1,70.10065904
2017/5/1,70.01884867
2017/6/1,70.09545927
2017/7/1,70.17232264
2017/8/1,70.15721671
2017/9/1,70.47382325
2017/10/1,70.24154987
2017/11/1,70.27995512
2017/12/1,70.27683846
2018/1/1,70.32537254
2018/2/1,70.60807081
2018/3/1,70.56661
2018/4/1,70.5880435
2018/5/1,70.74824284
2018/6/1,70.69282423
2018/7/1,70.85912832
2018/8/1,70.57661888
2018/9/1,70.76277678
2018/10/1,70.90184579
2018/11/1,70.96911094
2018/12/1,70.99131658
2019/1/1,71.02368061
2019/2/1,71.0518914
2019/3/1,71.08993871
2019/4/1,71.15765275
2019/5/1,71.16221118
2019/6/1,71.23514573
2019/7/1,71.25517155
2019/8/1,71.42726925
2019/9/1,71.71637302
2019/10/1,71.68402827
2019/11/1,71.67679302
2019/12/1,71.69283298
2020/1/1,71.7808083
2020/2/1,71.80235069
2020/3/1,70.58295078
2020/4/1,60.30707781
2020/5/1,62.26217175
2020/6/1,64.75331401
2020/7/1,65.36933444
2020/8/1,66.84276861
2020/9/1,66.92125182
2020/10/1,67.83161501
2020/11/1,67.76678547
2020/12/1,67.9208913
2021/1/1,68.19936256
2021/2/1,68.42745954
2021/3/1,68.62841722
2021/4/1,68.71930411
2021/5/1,68.99805276
2021/6/1,69.07387826
2021/7/1,69.63764412
2021/8/1,69.67149749
2021/9/1,69.94736201
2021/10/1,70.12656505
2021/11/1,70.58858921
2021/12/1,70.81073626
2022/1/1,70.7698605
2022/2/1,70.92169189
2022/3/1,71.35344288
